Rk,Player,From,To,Tm,W,L,T,W-L%,Count
76,Y.A. Tittle*\TittY.00,1956,1963,SFO/NYG,8,0,0,1.000,8
77,Steve Bartkowski\BartSt00,1975,1984,ATL,4,3,0,.571,7
78,Sam Bradford\BradSa00,2010,2017,MIN/PHI/STL,4,2,1,.643,7
79,Joe Ferguson\FergJo00,1976,1984,BUF,2,5,0,.286,7
80,Brian Griese\GrieBr00,1999,2004,DEN/TAM,5,2,0,.714,7
81,John Hadl\HadlJo00,1967,1971,SDG,6,1,0,.857,7
82,Jeff Hostetler\HostJe00,1993,1996,RAI/OAK,6,1,0,.857,7
83,Sonny Jurgensen*\JurgSo00,1964,1969,WAS,4,1,2,.714,7
84,Colin Kaepernick\KaepCo00,2012,2015,SFO,5,2,0,.714,7
85,Bill Kenney\KennBi00,1980,1987,KAN,6,1,0,.857,7
86,Bernie Kosar\KosaBe00,1986,1991,CLE,6,1,0,.857,7
87,Tommy Kramer\KramTo00,1979,1986,MIN,7,0,0,1.000,7
88,Jake Plummer\PlumJa00,1997,2006,DEN/ARI,6,1,0,.857,7
89,Vinny Testaverde\TestVi00,1991,1998,TAM/CLE/BAL/NYJ,5,2,0,.714,7
90,Joe Theismann\TheiJo00,1980,1984,WAS,5,2,0,.714,7
91,Wade Wilson\WilsWa00,1986,1992,MIN/ATL,6,1,0,.857,7
92,Jameis Winston\WinsJa00,2015,2019,TAM,2,5,0,.286,7
93,Jason Campbell\CampJa00,2009,2013,OAK/CLE/WAS,2,4,0,.333,6
94,Jake Delhomme\DelhJa00,2003,2008,CAR,3,3,0,.500,6
95,Doug Flutie\FlutDo00,1998,2001,SDG/BUF,3,3,0,.500,6
96,Nick Foles\FoleNi00,2012,2020,PHI/CHI,5,1,0,.833,6
97,Elvis Grbac\GrbaEl00,1995,2000,KAN/SFO,5,1,0,.833,6
98,Justin Herbert\HerbJu00,2020,2020,LAC,4,2,0,.667,6
99,Brian Hoyer\HoyeBr00,2013,2017,CHI/CLE/SFO/HOU,3,3,0,.500,6
100,Stan Humphries\HumpSt00,1990,1996,SDG/WAS,6,0,0,1.000,6
101,Erik Kramer\KramEr00,1993,1998,CHI/DET,5,1,0,.833,6
102,Daryle Lamonica\LamoDa00,1967,1969,OAK,6,0,0,1.000,6
103,Marcus Mariota\MariMa01,2015,2018,TEN,3,3,0,.500,6
104,Don Meredith\MereDo00,1963,1968,DAL,6,0,0,1.000,6
105,Kyle Orton\OrtoKy00,2008,2010,DEN/CHI,4,2,0,.667,6
106,Milt Plum\PlumMi00,1959,1964,DET/CLE,4,2,0,.667,6
107,Brian Sipe\SipeBr00,1976,1983,CLE,5,1,0,.833,6
108,Bart Starr*\StarBa00,1961,1968,GNB,6,0,0,1.000,6
109,Roger Staubach*\StauRo00,1973,1979,DAL,5,1,0,.833,6
110,Norm Van Brocklin *\VanBNo00,1950,1960,RAM/PHI,6,0,0,1.000,6
111,George Blanda*\BlanGe00,1960,1965,HOU,4,1,0,.800,5
112,Teddy Bridgewater\BridTe00,2015,2020,CAR/MIN/NOR,3,2,0,.600,5
113,Marc Bulger\BulgMa00,2002,2007,STL,4,1,0,.800,5
114,Josh Freeman\FreeJo00,2009,2012,TAM,3,2,0,.600,5
115,Jimmy Garoppolo\GaroJi00,2018,2020,SFO,3,2,0,.600,5
116,Case Keenum\KeenCa00,2013,2019,WAS/MIN/LAR/HOU,3,2,0,.600,5
117,Baker Mayfield\MayfBa00,2018,2020,CLE,5,0,0,1.000,5
118,Chad Pennington\PennCh01,2002,2006,NYJ,5,0,0,1.000,5
119,Mark Rypien\RypiMa00,1990,1995,WAS/STL,4,1,0,.800,5
120,Danny White\WhitDa01,1981,1986,DAL,4,1,0,.800,5
121,Terry Bradshaw*\BradTe00,1977,1982,PIT,4,0,0,1.000,4
122,Jacoby Brissett\BrisJa00,2017,2019,IND,3,1,0,.750,4
123,Bubby Brister\BrisBu00,1988,1990,PIT,3,1,0,.750,4
124,Rudy Bukich\BukiRu00,1960,1965,PIT/CHI,3,0,1,.875,4
125,Tim Couch\CoucTi00,1999,2002,CLE,2,2,0,.500,4
126,Len Dawson*\DawsLe00,1962,1967,KAN/DTX,4,0,0,1.000,4
127,Tony Eason\EasoTo00,1984,1986,NWE,2,2,0,.500,4
128,Tom Flores\FlorTo00,1961,1966,OAK,4,0,0,1.000,4
129,Gus Frerotte\FrerGu00,1996,2003,MIN/WAS/DET,3,1,0,.750,4
130,David Garrard\GarrDa00,2008,2010,JAX,3,1,0,.750,4
131,Bob Griese*\GrieBo00,1967,1980,MIA,3,1,0,.750,4
132,Steve Grogan\GrogSt00,1978,1986,NWE,3,1,0,.750,4
133,Rex Grossman\GrosRe00,2006,2011,WAS/CHI,4,0,0,1.000,4
134,Jim Harbaugh\HarbJi00,1992,1997,CHI/IND,3,1,0,.750,4
135,Ron Jaworski\JawoRo00,1980,1984,PHI,3,1,0,.750,4
136,Daniel Jones\JoneDa05,2019,2019,NYG,2,2,0,.500,4
137,Bobby Layne*\LaynBo00,1951,1958,DET/PIT,4,0,0,1.000,4
138,Byron Leftwich\LeftBy00,2003,2005,JAX,4,0,0,1.000,4
139,Scott Mitchell\MitcSc00,1993,1997,DET/MIA,4,0,0,1.000,4
140,Earl Morrall\MorrEa00,1963,1971,NYG/BAL/DET,2,2,0,.500,4
141,Craig Morton\MortCr00,1969,1981,DAL/DEN/NYG,4,0,0,1.000,4
142,Joe Namath*\NamaJo00,1966,1974,NYJ,4,0,0,1.000,4
143,Bill Nelsen\NelsBi00,1965,1969,PIT/CLE,2,1,1,.625,4
144,Tobin Rote\RoteTo00,1956,1963,GNB/SDG,3,1,0,.750,4
145,Tyrod Taylor\TaylTy00,2015,2017,BUF,1,3,0,.250,4
146,Bobby Thomason\ThomBo02,1953,1955,PHI,2,2,0,.500,4
147,Mitchell Trubisky\TrubMi00,2018,2020,CHI,3,1,0,.750,4
148,Billy Wade\WadeBi00,1958,1963,RAM/CHI,3,1,0,.750,4
149,Doug Williams\WillDo01,1981,1988,WAS/TAM,2,2,0,.500,4
150,Tony Banks\BankTo00,1997,1999,STL/BAL,2,1,0,.667,3
151,Charlie Batch\BatcCh00,1998,2001,DET,0,3,0,.000,3
152,Steve Bono\BonoSt00,1991,1995,KAN/SFO,3,0,0,1.000,3
153,Sam Darnold\DarnSa00,2018,2019,NYJ,1,2,0,.333,3
154,Trent Dilfer\DilfTr00,2001,2007,CLE/SFO/SEA,3,0,0,1.000,3
155,Eric Hipple\HippEr00,1981,1986,DET,2,1,0,.667,3
156,Gary Hogeboom\HogeGa00,1985,1987,DAL/IND,2,1,0,.667,3
157,Damon Huard\HuarDa00,2006,2007,KAN,2,1,0,.667,3
158,Lamar Jackson\JackLa00,2019,2020,BAL,3,0,0,1.000,3
159,Charley Johnson\JohnCh02,1963,1972,STL/DEN,3,0,0,1.000,3
160,Rob Johnson\JohnRo00,1997,2000,JAX/BUF,2,1,0,.667,3
161,Jack Kemp\KempJa00,1960,1965,LAC/BUF,3,0,0,1.000,3
162,Billy Kilmer\KilmBi00,1968,1973,WAS/NOR,3,0,0,1.000,3
163,Don Majkowski\MajkDo00,1989,1990,GNB,2,1,0,.667,3
164,Chris Miller\MillCh00,1989,1991,ATL,0,3,0,.000,3
165,Gardner Minshew II\MinsGa00,2019,2020,JAX,1,2,0,.333,3
166,Kyler Murray\MurrKy00,2019,2020,ARI,1,2,0,.333,3
167,Mark Sanchez\SancMa00,2009,2014,NYJ/PHI,2,1,0,.667,3
168,Norm Snead\SneaNo00,1965,1967,PHI,3,0,0,1.000,3
169,Butch Songin\SongBu00,1960,1961,BOS,2,1,0,.667,3
170,Kordell Stewart\StewKo00,2001,2003,PIT/CHI,3,0,0,1.000,3
171,Richard Todd\ToddRi00,1981,1981,NYJ,2,1,0,.667,3
172,Mike Tomczak\TomcMi00,1989,1999,CHI/PIT/GNB,1,2,0,.333,3
173,Billy Volek\VoleBi00,2003,2004,TEN,1,2,0,.333,3
174,Marc Wilson\WilsMa00,1984,1987,RAI,2,1,0,.667,3
175,Jim Zorn\ZornJi00,1979,1979,SEA,3,0,0,1.000,3
176,Kyle Allen\AlleKy00,2019,2019,CAR,1,1,0,.500,2
177,Scott Brunner\BrunSc00,1982,1982,NYG,1,1,0,.500,2
178,Joe Burrow\BurrJo01,2020,2020,CIN,0,1,1,.250,2
179,Virgil Carter\CartVi00,1971,1971,CIN,2,0,0,1.000,2
180,Charlie Conerly\ConeCh00,1953,1959,NYG,2,0,0,1.000,2
181,Gary Danielson\DaniGa00,1984,1987,DET/CLE,2,0,0,1.000,2
